CustomerID,TransactionID,TransactionDate,AmountSpent,ProductCategory
1,7194,2022-03-27 00:00:00,416.5,Electronics
2,7250,2022-08-08 00:00:00,54.96,Clothing
2,9660,2022-07-25 00:00:00,197.5,Electronics
2,2998,2022-01-25 00:00:00,101.31,Furniture
2,1228,2022-07-24 00:00:00,397.37,Clothing
2,8903,2022-01-09 00:00:00,285.21,Electronics
2,3527,2022-09-16 00:00:00,311.34,Electronics
2,9279,2022-11-19 00:00:00,199.73,Groceries
3,9839,2022-10-08 00:00:00,241.06,Books
3,7364,2022-08-15 00:00:00,51.07,Clothing
3,4967,2022-09-17 00:00:00,419.95,Furniture
3,1646,2022-07-09 00:00:00,287.72,Groceries
3,7806,2022-03-02 00:00:00,299.86,Groceries
3,7329,2022-02-11 00:00:00,403.32,Furniture
4,3394,2022-07-31 00:00:00,125.64,Electronics
4,1211,2022-12-01 00:00:00,123.59,Groceries
4,4235,2022-12-22 00:00:00,241.45,Electronics
4,3419,2022-12-27 00:00:00,44.22,Clothing
4,7670,2022-05-22 00:00:00,382.39,Furniture
5,1742,2022-02-21 00:00:00,475.69,Groceries
5,9349,2022-08-12 00:00:00,178.91,Furniture
5,7200,2022-12-02 00:00:00,373.51,Groceries
5,4938,2022-10-21 00:00:00,155.76,Electronics
5,5357,2022-07-04 00:00:00,308.8,Electronics
5,6791,2022-08-31 00:00:00,219.98,Furniture
5,7592,2022-12-21 00:00:00,218.98,Electronics
5,9249,2022-05-25 00:00:00,69.86,Groceries
6,6635,2022-08-11 00:00:00,365.57,Books
6,3772,2022-10-29 00:00:00,448.86,Clothing
6,6237,2022-08-09 00:00:00,41.7,Furniture
6,8661,2022-07-03 00:00:00,104,Furniture
6,9155,2022-10-18 00:00:00,204.16,Electronics
7,8762,2022-10-24 00:00:00,86.73,Books
8,4215,2022-10-25 00:00:00,263.24,Books
8,2500,2022-11-09 00:00:00,483.91,Clothing
8,1383,2022-07-06 00:00:00,240.92,Books
8,6171,2022-06-10 00:00:00,346.24,Clothing
8,1807,2022-07-13 00:00:00,253.68,Furniture
8,5759,2022-09-26 00:00:00,161.56,Electronics
8,9841,2022-03-10 00:00:00,297.33,Furniture
9,7332,2022-06-02 00:00:00,96.67,Electronics
9,4938,2022-06-11 00:00:00,472.21,Clothing
9,9647,2022-01-13 00:00:00,44.26,Groceries
9,9438,2022-10-19 00:00:00,378.14,Groceries
9,4713,2022-05-26 00:00:00,325.96,Clothing
10,3487,2022-09-07 00:00:00,5.86,Furniture
10,7614,2022-10-31 00:00:00,35.29,Clothing
10,5052,2022-08-02 00:00:00,303.4,Groceries
10,4074,2022-09-08 00:00:00,223.85,Furniture
10,7393,2022-01-19 00:00:00,471.18,Furniture
10,5096,2022-06-05 00:00:00,179,Groceries
10,9067,2022-09-10 00:00:00,178.78,Electronics
11,6848,2022-06-06 00:00:00,334.62,Books
11,2486,2022-03-01 00:00:00,462,Groceries
11,5349,2022-09-22 00:00:00,163.78,Books
11,8270,2022-12-14 00:00:00,426.06,Books
11,9437,2022-10-03 00:00:00,347.37,Groceries
12,6450,2022-11-02 00:00:00,87.1,Electronics
13,1990,2022-09-27 00:00:00,173.13,Electronics
13,2005,2022-07-23 00:00:00,54.17,Clothing
13,4677,2022-08-10 00:00:00,164.72,Books
14,2745,2022-06-17 00:00:00,442.99,Furniture
14,9980,2022-04-17 00:00:00,412.2,Furniture
14,2396,2022-05-16 00:00:00,186.37,Groceries
14,6272,2022-11-08 00:00:00,150.22,Books
14,8718,2022-06-05 00:00:00,478.59,Groceries
14,7776,2022-10-16 00:00:00,335.44,Clothing
14,6836,2022-01-17 00:00:00,468.35,Furniture
14,6340,2022-02-21 00:00:00,213.22,Groceries
14,1721,2022-06-03 00:00:00,156.21,Groceries
15,3145,2022-03-28 00:00:00,283.39,Books
15,2620,2022-11-11 00:00:00,383.9,Electronics
15,6146,2022-04-15 00:00:00,160.79,Books
15,2253,2022-01-20 00:00:00,273.54,Furniture
15,1293,2022-05-20 00:00:00,68.63,Groceries
15,5338,2022-01-26 00:00:00,406.29,Groceries
15,4936,2022-08-16 00:00:00,151.88,Furniture
15,3147,2022-12-16 00:00:00,185.6,Clothing
16,9620,2022-11-25 00:00:00,52.67,Books
16,5751,2022-07-23 00:00:00,352.99,Books
16,3844,2022-11-22 00:00:00,250.51,Furniture
16,6371,2022-11-14 00:00:00,154.7,Books
16,4438,2022-08-09 00:00:00,470.53,Clothing
16,6637,2022-08-07 00:00:00,97.06,Electronics
16,6615,2022-12-14 00:00:00,159.18,Furniture
16,7531,2022-09-01 00:00:00,147.82,Furniture
16,1141,2022-11-13 00:00:00,334.33,Books
17,1301,2022-06-03 00:00:00,67.2,Groceries
17,7359,2022-09-29 00:00:00,92.54,Electronics
17,2767,2022-07-19 00:00:00,344.04,Electronics
17,3589,2022-07-23 00:00:00,431.79,Books
17,9294,2022-11-24 00:00:00,121.62,Furniture
17,4397,2022-06-27 00:00:00,124.02,Clothing
17,4890,2022-07-01 00:00:00,444.06,Groceries
18,4769,2022-05-27 00:00:00,164.11,Groceries
18,1171,2022-08-30 00:00:00,97.23,Furniture
18,6170,2022-04-28 00:00:00,281.73,Books
18,1028,2022-02-08 00:00:00,154.09,Furniture
18,9033,2022-01-14 00:00:00,254.22,Books
19,3893,2022-10-14 00:00:00,382.15,Furniture
19,9830,2022-05-09 00:00:00,477.83,Furniture
19,5865,2022-07-18 00:00:00,19.8,Groceries
19,6290,2022-12-22 00:00:00,125.66,Furniture
19,8988,2022-12-21 00:00:00,11.82,Clothing
20,1490,2022-07-12 00:00:00,345.75,Groceries
20,2219,2022-12-17 00:00:00,191.96,Electronics
20,4307,2022-02-02 00:00:00,324.99,Clothing
20,8961,2022-11-26 00:00:00,488.22,Clothing
20,7435,2022-10-19 00:00:00,39.34,Groceries
20,4846,2022-09-14 00:00:00,485.84,Clothing
20,5167,2022-09-20 00:00:00,122.1,Groceries
20,9861,2022-04-14 00:00:00,315.55,Furniture
20,4640,2022-04-04 00:00:00,462.1,Books
21,2493,2022-02-16 00:00:00,97.31,Books
21,2596,2022-04-09 00:00:00,217.3,Groceries
21,8416,2022-03-01 00:00:00,64.35,Books
21,3714,2022-03-19 00:00:00,153.58,Books
21,3647,2022-08-02 00:00:00,380.48,Groceries
22,3133,2022-08-12 00:00:00,247.99,Furniture
22,6885,2022-10-07 00:00:00,463.48,Groceries
22,8646,2022-10-19 00:00:00,218.65,Clothing
22,6250,2022-05-30 00:00:00,89.96,Furniture
22,5095,2022-09-26 00:00:00,402.9,Books
22,5195,2022-02-01 00:00:00,159.75,Furniture
23,8983,2022-11-07 00:00:00,345.79,Groceries
23,4105,2022-04-10 00:00:00,457.01,Books
23,2838,2022-01-19 00:00:00,273.08,Groceries
23,1498,2022-02-11 00:00:00,414.86,Books
24,4322,2022-06-07 00:00:00,76.78,Clothing
24,5599,2022-12-12 00:00:00,128.8,Books
24,9658,2022-11-07 00:00:00,431.03,Furniture
24,7717,2022-02-11 00:00:00,485.5,Groceries
24,2676,2022-10-29 00:00:00,21.11,Clothing
25,5648,2022-09-14 00:00:00,330.41,Groceries
25,4092,2022-09-07 00:00:00,392.9,Books
25,7927,2022-10-07 00:00:00,41.46,Groceries
26,9145,2022-12-10 00:00:00,318.48,Books
26,1480,2022-12-28 00:00:00,45.91,Furniture
26,8843,2022-07-31 00:00:00,207.37,Clothing
27,4425,2022-05-12 00:00:00,288.66,Books
27,5786,2022-01-04 00:00:00,344.59,Furniture
27,4102,2022-05-18 00:00:00,390.78,Electronics
27,2276,2022-11-10 00:00:00,415.81,Electronics
27,1996,2022-07-23 00:00:00,191.92,Clothing
27,2452,2022-07-14 00:00:00,172.02,Groceries
27,6309,2022-02-11 00:00:00,348.97,Clothing
27,7397,2022-02-05 00:00:00,57.85,Groceries
28,5739,2022-12-18 00:00:00,56.85,Electronics
28,1702,2022-01-26 00:00:00,329.36,Books
28,2248,2022-07-15 00:00:00,467.92,Electronics
28,4690,2022-01-06 00:00:00,339.61,Furniture
28,2591,2022-09-07 00:00:00,325.01,Electronics
28,9559,2022-11-04 00:00:00,183.51,Electronics
29,2528,2022-08-13 00:00:00,438.71,Books
29,1801,2022-02-21 00:00:00,25.15,Clothing
29,9118,2022-09-24 00:00:00,389.21,Clothing
30,7047,2022-09-17 00:00:00,257.88,Books
30,1004,2022-05-13 00:00:00,448.78,Electronics
31,5083,2022-12-09 00:00:00,314.38,Clothing
31,6259,2022-01-13 00:00:00,101.96,Furniture
31,5812,2022-04-28 00:00:00,184.39,Clothing
31,2341,2022-03-19 00:00:00,194.45,Books
31,3715,2022-09-23 00:00:00,313.38,Books
32,1780,2022-08-28 00:00:00,460.5,Groceries
32,6698,2022-03-01 00:00:00,315.06,Electronics
32,5458,2022-08-10 00:00:00,111.98,Groceries
32,1813,2022-07-19 00:00:00,127.97,Books
32,5175,2022-10-04 00:00:00,210.01,Clothing
33,6680,2022-08-07 00:00:00,356.54,Clothing
33,3582,2022-11-07 00:00:00,332.46,Groceries
34,7444,2022-11-11 00:00:00,383.48,Clothing
34,1814,2022-12-17 00:00:00,242.66,Furniture
34,5245,2022-07-22 00:00:00,240.24,Clothing
34,5486,2022-07-09 00:00:00,111.43,Furniture
34,1249,2022-01-08 00:00:00,51.23,Electronics
34,5286,2022-07-14 00:00:00,269.06,Books
34,7568,2022-03-16 00:00:00,76.57,Clothing
34,6115,2022-12-22 00:00:00,298.83,Clothing
34,2905,2022-10-09 00:00:00,212.9,Electronics
35,5065,2022-09-08 00:00:00,135.67,Furniture
35,7320,2022-04-03 00:00:00,471.59,Books
35,2224,2022-05-04 00:00:00,172.58,Electronics
36,2345,2022-06-24 00:00:00,97.55,Electronics
36,4788,2022-06-18 00:00:00,72,Electronics
36,3207,2022-03-02 00:00:00,445.86,Groceries
36,6624,2022-07-05 00:00:00,54.72,Electronics
36,2130,2022-10-27 00:00:00,452.54,Books
36,7865,2022-04-04 00:00:00,198.88,Clothing
37,4507,2022-12-07 00:00:00,487.83,Clothing
37,5551,2022-08-15 00:00:00,489.73,Clothing
37,3700,2022-03-30 00:00:00,288.97,Clothing
37,2319,2022-10-29 00:00:00,426.1,Furniture
37,8228,2022-06-07 00:00:00,413.56,Furniture
37,3074,2022-03-10 00:00:00,269.85,Clothing
37,9774,2022-01-06 00:00:00,495.59,Books
37,9029,2022-05-14 00:00:00,95.14,Groceries
37,1282,2022-03-20 00:00:00,200.11,Furniture
38,5061,2022-11-12 00:00:00,431.43,Books
38,4129,2022-02-23 00:00:00,24.88,Groceries
38,7265,2022-12-05 00:00:00,418.55,Groceries
39,8293,2022-08-20 00:00:00,439.79,Electronics
39,6986,2022-12-11 00:00:00,12.77,Groceries
39,2459,2022-07-16 00:00:00,90.54,Electronics
39,9823,2022-04-06 00:00:00,332.93,Furniture
